Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,Germany,2020-03-26,77642.3304319201,45179.6152273932-129865.42212594158,3720.776297347227,2097.6405371208816-6331.930882048301,425.50012243405683,117.99605074509499-1426.2912406353475,844.14081279921,141.35345455837853-4348.153232517958,0.005480259544851662,0.000908602527242888-0.031569353423146505
,Germany,2020-03-27,95903.82764303687,56347.968437887874-158831.01806244924,4595.692045753111,2617.899085495662-7742.0515667237305,566.0374015443767,159.42145390319794-1868.1618355667742,1060.5833856623265,180.88777010111272-5363.466673760697,0.005902135665024982,0.0010037173837198258-0.033154022893053206
,Germany,2020-03-28,118429.5726017222,70265.38041730261-194180.83759729235,5674.797732547045,3266.5881233260648-9462.360982325552,752.9902459657607,215.39007012290506-2446.90543689116,1332.5186166443482,266.0-6615.7656554701225,0.006358126854836008,0.0011092241273034267-0.03482376986161763
,US,2020-01-22,0.00023054138746653378,9.146711993930543e-05-0.0005744997979437281,1.152706937332669e-05,4.573355996965272e-06-2.872498989718641e-05,0.00010328526832686002,2.549520095132814e-05-0.00040593554966952323,1.7173819408476079,1.0415677263281982e-09-678462.9991638613,0.44801182755895963,0.04437808514917072-4.438048885095417
,US,2020-01-23,0.00031711090213316353,0.00012689236318129431-0.000783508911485986,1.5855545106658176e-05,6.344618159064716e-06-3.91754455742993e-05,0.00013361066257782238,3.3279198058914055e-05-0.0005204130090242721,1.765495736338067,1.0858286473631655e-09-687685.8634464213,0.42133733554740926,0.0424745622813625-4.101216148687726
,US,2020-01-24,0.00043618772905258256,0.0001760378138550181-0.0010685577550670839,2.1809386452629128e-05,8.801890692750906e-06-5.3427887753354195e-05,0.0001728398390561163,4.343974481937545e-05-0.0006671741368353895,1.8149574773246457,1.1319704150116821e-09-697032.751745061,0.3962510349191424,0.040652687805956086-3.789947865319796
,US,2020-01-25,0.0005999785365185098,0.00024421731245220806-0.0014573103881443466,2.999892682592549e-05,1.2210865622610404e-05-7.286551940721734e-05,0.00022358702059080776,5.670243094896107e-05-0.0008553232166435044,1.8658049275493316,1.1800729549486342e-09-706505.2949438171,0.3726583652278867,0.03890895955333346-3.5023037804123174
,US,2020-01-26,0.000825273661559512,0.0003388027514956257-0.0019874953481157477,4.12636830779756e-05,1.6940137574781286e-05-9.93747674057874e-05,0.0002892339870811391,7.401437759108167e-05-0.001096532021458288,1.9180769087345892,1.2302195892521005e-09-716105.1443623189,0.3504703961284507,0.03724002557351959-3.2364908980747913
,US,2020-01-27,0.0011351683018779987,0.0004700211597136713-0.0027105672140304766,5.675841509389994e-05,2.3501057985683567e-05-0.00013552836070152385,0.0003741554364907841,9.661187357426908e-05-0.0014057638687753448,1.9718133302235235,1.2824971807319177e-09-725833.9719840572,0.3296034921621659,0.035642677692766786-2.9908523046743505
,US,2020-01-28,0.0015614300244978356,0.0006520604971570443-0.003696700285971938,7.807150122489178e-05,3.260302485785221e-05-0.00018483501429859692,0.00048401051366167303,0.00012610866184807693-0.0018022018655902714,2.0270552194503924,1.3369962833913708e-09-735693.4706864168,0.30997899750091806,0.03411384534651837-2.7638568406578745
,US,2020-01-29,0.002147755286475025,0.0009046037250987755-0.00504159901790817,0.00010738776432375126,4.523018625493878e-05-0.00025207995089540847,0.000626119934356991,0.00016461118084916247-0.0023104389268170603,2.083844753264817,1.393811299282688e-09-745685.3544724643,0.2915229394614142,0.03265058967689619-2.554089556247161
,US,2020-01-30,0.0029542487964194434,0.0012549570216707669-0.006875786158168279,0.0001477124398209722,6.274785108353835e-05-0.000343789307908414,0.0008099538359883304,0.00021486899046787488-0.0029620033895545275,2.1422252901334877,1.4530406420280359e-09-755811.3587044845,0.27416574967213203,0.03125009788336936-2.360242891514414
,US,2020-01-31,0.004063584900042009,0.0017410022560602613-0.00937727001382829,0.00020317924500210048,8.705011280301307e-05-0.00046886350069141446,0.0010477628652813757,0.000280471124904803-0.0037973148642342614,2.2022414032441278,1.5147869072892588e-09-766073.2403392453,0.25784200184190664,0.029909677815739902-2.1811085258598455
,US,2020-02-01,0.005589482598675429,0.0024152929568558613-0.012788820200081026,0.00027947412993377147,0.00012076464784279307-0.0006394410100040513,0.001355394558409484,0.00036610239445930136-0.004868191653302311,2.2639389145367748,1.5791570504816396e-09-776472.7781649812,0.2424901651417037,0.02862675279905662-2.0155698460858935
,US,2020-02-02,0.007688362982227565,0.003350736650172559-0.01744152849024424,0.0003844181491113783,0.00016753683250862796-0.000872076424512212,0.0017533494169696,0.00047787793939312967-0.006241065284416974,2.3273649296886063,1.6462625720395876e-09-787011.7730400813,0.22805237226996775,0.027398856680504027-1.862594986119117
,US,2020-02-03,0.01057538409007357,0.004648477969050596-0.023786941352589065,0.0005287692045036785,0.0002324238984525298-0.0011893470676294534,0.0022681470564480297,0.0006237799271861697-0.008001101570786004,2.3925678740787175,1.7162197105549195e-09-797692.0481334695,0.21447420132730619,0.026223629088751046-1.7212303949931695
,US,2020-02-04,0.014546496947302768,0.006448834893506128-0.03244088264443296,0.0007273248473651385,0.0003224417446753064-0.0016220441322216481,0.0029340934669790314,0.0008142275788127953-0.010257483847411573,2.459597529760701,1.7891496441227505e-09-808515.4491666539,0.20170447067828762,0.02509881089664252-1.5905948930000817
,US,2020-02-05,0.020008783759606616,0.008946470599655877-0.04424321946649497,0.0010004391879803308,0.0004473235299827939-0.0022121609733247484,0.003795567156225321,0.001062821231021906-0.01315018612725229,2.5285050734708148,1.865178700243188e-09-819483.8446574268,0.18969504602712264,0.024022239878514536-1.4698741789592544
,US,2020-02-06,0.027522188261303884,0.012411441370583368-0.0603393714679926,0.0013761094130651944,0.0006205720685291685-0.00301696857339963,0.004909976522388572,0.0013873135699439651-0.01685865634805359,2.599343115701164,1.9444385746428858e-09-830599.1261652107,0.1784006589800123,0.02299184655378577-1.358315754366021
,US,2020-02-07,0.03785691603040687,0.017218396369423565-0.08229147409997563,0.0018769902564136855,0.0008450642733645202-0.004098718159892123,0.006351585535970744,0.0018108773942135195-0.021612948372511938,2.6721657408673947,2.027066559395247e-09-841863.2085380094,0.16777873641025376,0.022005650208835617-1.2552242327800178
,US,2020-02-08,0.05207238892640297,0.02388708649334014-0.11222998423695338,0.0025818100598675197,0.001172544938214378-0.00558968982539504,0.008216462672792245,0.0023637604416999313-0.027707993312125798,2.7470285486018686,2.1132057807344936e-09-853278.0301609575,0.1577892399829219,0.021061755089524715-1.1599570052149704
,US,2020-02-09,0.07162584733799884,0.03313856231879132-0.15306044152797837,0.003551293440074017,0.0016269291891136406-0.007623023149572994,0.01062888289396314,0.0030854454551064313-0.035521895492105576,2.823988696203504,2.203005446975532e-09-864845.5532064391,0.14839451523422775,0.02015834675703868-1.07192023451068
,US,2020-02-10,0.09852173315039613,0.04597313752777936-0.2087454517142108,0.004884822974441831,0.0022573931933109925-0.010396008902632564,0.013749609299200676,0.0040274697420515345-0.04553938804212791,2.903104942277124,2.2966211069690577e-09-876567.763885757,0.1395591496366748,0.019293688600053725-0.9905651537185307
,US,2020-02-11,0.13551716680788678,0.0637785475922436-0.28468925845817034,0.00671909992530044,0.0031321689645182806-0.014177704507814618,0.01778660634085957,0.0052571055813753955-0.05838190317357549,2.9844376915951556,2.3942149195395625e-09-888446.6727023144,0.13124983911502813,0.018466118496521453-0.9153846454270084
,US,2020-02-12,0.1864045821007176,0.08847999834880808-0.3882622264661595,0.009242157603810988,0.004345928416215512-0.019335039822083084,0.023008898524656148,0.006862164302565738-0.07484612254400484,3.068049041216308,2.49595593437309e-09-900484.3147063041,0.12343526250993148,0.01767404561866086-0.8459100807048455
,US,2020-02-13,0.256400491808208,0.12274832843030534-0.5295161371035996,0.01271263682608665,0.006030028657191516-0.02636841909085623,0.029764498137531327,0.008957267109468143-0.09595339916925298,3.1540028278962917,2.6020203848409187e-09-912682.7497508498,0.11608596351599702,0.01691594737501958-0.7817083979578091
